age,SIDO_SGG,SIDO,SIGUNGU,SGG
20,울산 울주,울산,울주군,울주
20,서울 은평을,서울,은평구,은평을
20,경남 산청함양거창합천,경남,군산시,산청함양거창합천
20,경북 영양군영덕군봉화군울진군,경북,영양군영덕군봉화군울진군,영양군영덕군봉화군울진군
20,제주 제주갑,제주,제주시,제주갑
20,충남 아산을,충남,아산시,아산을
20,충북 증평진천음성,충북,증평군,증평진천음성
20,서울 노원갑,서울,노원구,노원갑
20,대구 달서갑,대구,달서구,달서갑
20,대구 중구남구,대구,중구남구,중구남구
20,충북 제천단양,충북,제천시,제천단양
20,강원 강릉,강원,강릉시,강릉
20,광주 광산을,광주,광산구,광산을
20,경기 화성병,경기,화성시,화성병
20,서울 강서갑,서울,강서구,강서갑
20,서울 성북을,서울,성북구,성북을
20,경남 김해을,경남,김해시,김해을
20,광주 북구갑,광주,북구,북구갑
20,경기 부천시원미구갑,경기,부천시,원미구갑
20,전북 군산시,전북,군산시,군산시
20,경북 안동시,경북,안동시,안동시
20,전북 전주갑,전북,전주시,전주갑
20,강원 원주갑,강원,원주시,원주갑
20,부산 북구강서구을,부산,북구강서구,북구강서구을
20,광주 광산구갑,광주,광산구,광산구갑
20,경기 김포시갑,경기,김포시,김포시갑
20,경기 안산시단원구갑,경기,안산시,안산시단원구갑
20,부산 중구영도구,부산,중구영도구,중구영도구
20,경기 용인시을,경기,용인시,용인시을
20,경기 성남시분당구갑,경기,성남시,성남시분당구갑
20,서울 동작구갑,서울,동작구,동작구갑
20,경기 성남시분당구을,경기,성남시,성남시분당구을
20,대구 수성구갑,대구,수성구,수성구갑
20,대구 서구,대구,서구,서구
20,경기 부천시소사구,경기,부천시,소사구
20,경북 경주시,경북,경주시,경주시
20,서울 도봉구을,서울,도봉구,도봉구을
20,서울 관악구갑,서울,관악구,관악구갑
20,경기 동두천시연천군,경기,동두천시,동두천시연천군
20,경남 창원시진해구,경남,창원시진해구,창원시진해구
20,서울 강서구을,서울,강서구,강서구을
20,서울 노원구병,서울,노원구,노원구병
20,부산 금정구,부산,금정구,금정구
20,경기 포천시가평군,경기,포천시,포천시가평군
20,서울 영등포구갑,서울,영등포구,영등포구갑
20,경기 수원시병,경기,수원시,수원시병
20,부산 부산진구갑,부산,부산진구,부산진구갑
20,서울 서대문구을,서울,서대문구,서대문구을
20,서울 양천구을,서울,양천구,양천구을
20,경남 진주시을,경남,진주시,진주시을
