age,member_id,bill_number,result,date
21,XR24352K,2102111,찬성,2020-12-01
21,QQP4727N,2102111,찬성,2020-12-01
21,IUL4848V,2102111,찬성,2020-12-01
21,JEZ3130Q,2102111,찬성,2020-12-01
21,9L57027L,2102111,찬성,2020-12-01
21,LJK4960Z,2102111,찬성,2020-12-01
21,K3W33496,2102111,찬성,2020-12-01
21,DBA1057Z,2102111,불참,2020-12-01
21,CI15627C,2102111,찬성,2020-12-01
21,21N57758,2102111,찬성,2020-12-01
21,C7E79345,2102111,찬성,2020-12-01
21,UQ282145,2102111,찬성,2020-12-01
21,TRE2429O,2102111,찬성,2020-12-01
21,E6U4345C,2102111,찬성,2020-12-01
21,2UD1340H,2102111,찬성,2020-12-01
21,EMC8812P,2102111,찬성,2020-12-01
21,XJC13432,2102111,찬성,2020-12-01
21,T465023H,2102111,찬성,2020-12-01
21,RQQ3807K,2102111,찬성,2020-12-01
21,FH777496,2102111,찬성,2020-12-01
21,FYI20317,2102111,찬성,2020-12-01
21,ZYP7962W,2102111,찬성,2020-12-01
21,GX38539O,2102111,찬성,2020-12-01
21,WVU2479T,2102111,찬성,2020-12-01
21,9D939735,2102111,기권,2020-12-01
21,QTW6852F,2102111,찬성,2020-12-01
21,7XY7109I,2102111,찬성,2020-12-01
21,TST4507I,2102111,찬성,2020-12-01
21,JC14718Q,2102111,찬성,2020-12-01
21,5KV82250,2102111,찬성,2020-12-01
21,L7J93733,2102111,찬성,2020-12-01
21,LT72093S,2102111,찬성,2020-12-01
21,GE71932C,2102111,찬성,2020-12-01
21,6YT83269,2102111,찬성,2020-12-01
21,1MU99298,2102111,찬성,2020-12-01
21,FDC3144T,2102111,찬성,2020-12-01
21,I7R13867,2102111,찬성,2020-12-01
21,SQ36001H,2102111,불참,2020-12-01
21,9LD2641Q,2102111,찬성,2020-12-01
21,FOK3459D,2102111,찬성,2020-12-01
21,QUO78839,2102111,찬성,2020-12-01
21,BT62420K,2102111,찬성,2020-12-01
21,LPB30152,2102111,찬성,2020-12-01
21,TZP9391O,2102111,찬성,2020-12-01
21,6V37131U,2102111,찬성,2020-12-01
21,B7R2742J,2102111,찬성,2020-12-01
21,FJK3396E,2102111,찬성,2020-12-01
21,71J2365L,2102111,기권,2020-12-01
21,7O71647Z,2102111,찬성,2020-12-01
21,E1J8836Y,2102111,찬성,2020-12-01
21,6EN68926,2102111,불참,2020-12-01
21,1BX7234U,2102111,찬성,2020-12-01
21,QHL3248U,2102111,찬성,2020-12-01
21,9S151177,2102111,찬성,2020-12-01
21,TZ228122,2102111,불참,2020-12-01
21,9V18755A,2102111,찬성,2020-12-01
21,PO64874I,2102111,찬성,2020-12-01
21,GOC54665,2102111,불참,2020-12-01
21,5UN9725L,2102111,찬성,2020-12-01
21,M2Q9024I,2102111,불참,2020-12-01
21,4019850M,2102111,찬성,2020-12-01
21,9YO73104,2102111,찬성,2020-12-01
21,7BM2933Y,2102111,찬성,2020-12-01
21,CDL93608,2102111,찬성,2020-12-01
21,9VR65006,2102111,불참,2020-12-01
21,X7I4680R,2102111,찬성,2020-12-01
21,D0C85236,2102111,찬성,2020-12-01
21,XSP20229,2102111,찬성,2020-12-01
21,3RW63706,2102111,찬성,2020-12-01
21,8X15119P,2102111,불참,2020-12-01
21,CNW5754J,2102111,찬성,2020-12-01
21,3249208I,2102111,찬성,2020-12-01
21,8Q88373R,2102111,찬성,2020-12-01
21,XEF29171,2102111,찬성,2020-12-01
21,DAV7257X,2102111,찬성,2020-12-01
21,17M85910,2102111,찬성,2020-12-01
21,G152611B,2102111,찬성,2020-12-01
21,G1570880,2102111,찬성,2020-12-01
21,MD083627,2102111,불참,2020-12-01
21,OSV9142K,2102111,찬성,2020-12-01
21,ZDP5704Q,2102111,찬성,2020-12-01
21,W1Q6753M,2102111,찬성,2020-12-01
21,MHK9919B,2102111,기권,2020-12-01
21,RD42006Y,2102111,찬성,2020-12-01
21,AE685067,2102111,찬성,2020-12-01
21,TJW93720,2102111,찬성,2020-12-01
21,XA42275R,2102111,찬성,2020-12-01
21,L7T64271,2102111,찬성,2020-12-01
21,4X525582,2102111,찬성,2020-12-01
21,G7512472,2102111,찬성,2020-12-01
21,3TO11703,2102111,불참,2020-12-01
21,QD25323M,2102111,찬성,2020-12-01
21,GP07421U,2102111,찬성,2020-12-01
21,USR7059P,2102111,찬성,2020-12-01
21,4XG1439M,2102111,찬성,2020-12-01
21,P2N50879,2102111,찬성,2020-12-01
21,A2V51235,2102111,찬성,2020-12-01
21,09I2323E,2102111,찬성,2020-12-01
21,A3H7195R,2102111,찬성,2020-12-01
21,0VU8517U,2102111,찬성,2020-12-01
21,M0A1658U,2102111,찬성,2020-12-01
21,3BC6890E,2102111,찬성,2020-12-01
21,ZDR63255,2102111,찬성,2020-12-01
21,5765663F,2102111,찬성,2020-12-01
21,ZKU88693,2102111,불참,2020-12-01
21,5KV96424,2102111,찬성,2020-12-01
21,X3170462,2102111,찬성,2020-12-01
21,MY318392,2102111,찬성,2020-12-01
21,8FB1535Y,2102111,찬성,2020-12-01
21,PZA4062H,2102111,찬성,2020-12-01
21,MR210505,2102111,기권,2020-12-01
21,8348421R,2102111,불참,2020-12-01
21,JQA21112,2102111,찬성,2020-12-01
21,HXT76735,2102111,찬성,2020-12-01
21,4A067125,2102111,찬성,2020-12-01
21,WMG57662,2102111,찬성,2020-12-01
21,NCP9875N,2102111,찬성,2020-12-01
21,3425169D,2102111,찬성,2020-12-01
21,6MO8786S,2102111,찬성,2020-12-01
21,NQR1206Q,2102111,찬성,2020-12-01
21,NAL4555X,2102111,찬성,2020-12-01
21,OW53107J,2102111,찬성,2020-12-01
21,IOW8224X,2102111,찬성,2020-12-01
21,ATB59635,2102111,찬성,2020-12-01
21,D6U6678O,2102111,찬성,2020-12-01
21,FU87526G,2102111,찬성,2020-12-01
21,S9U45255,2102111,찬성,2020-12-01
21,8FC9697X,2102111,불참,2020-12-01
21,P0F1530P,2102111,찬성,2020-12-01
21,LQW3652K,2102111,찬성,2020-12-01
21,RO593601,2102111,찬성,2020-12-01
21,P2N4585G,2102111,기권,2020-12-01
21,JMY9959W,2102111,찬성,2020-12-01
21,B7D7534L,2102111,찬성,2020-12-01
21,AFH96856,2102111,찬성,2020-12-01
21,04T3751T,2102111,불참,2020-12-01
21,EVH1507C,2102111,찬성,2020-12-01
21,14M56632,2102111,기권,2020-12-01
21,N9X9673B,2102111,불참,2020-12-01
21,TP066860,2102111,불참,2020-12-01
21,6U243644,2102111,불참,2020-12-01
21,E9R4507P,2102111,찬성,2020-12-01
21,UHB5553T,2102111,찬성,2020-12-01
21,J9S37905,2102111,불참,2020-12-01
21,O0I2045I,2102111,찬성,2020-12-01
21,QUM8288K,2102111,찬성,2020-12-01
21,CFE3998F,2102111,불참,2020-12-01
21,BM63269Y,2102111,찬성,2020-12-01
21,YLS4431M,2102111,기권,2020-12-01
21,HSS7466Y,2102111,찬성,2020-12-01
21,BCQ55105,2102111,찬성,2020-12-01
21,SQ36001H,2125314,찬성,2023-11-09
21,MD083627,2125314,찬성,2023-11-09
21,B7R2742J,2125314,찬성,2023-11-09
21,71J2365L,2125314,반대,2023-11-09
21,RD42006Y,2125314,찬성,2023-11-09
21,TJW93720,2125314,찬성,2023-11-09
21,9S151177,2125314,찬성,2023-11-09
21,PO64874I,2125314,찬성,2023-11-09
21,F5U2979W,2125314,반대,2023-11-09
21,NUB4941Z,2125314,찬성,2023-11-09
21,F0I5053J,2125314,반대,2023-11-09
21,3TO11703,2125314,찬성,2023-11-09
21,66W6739S,2125314,반대,2023-11-09
21,DAY6557K,2125314,반대,2023-11-09
21,USR7059P,2125314,반대,2023-11-09
21,P2N50879,2125314,찬성,2023-11-09
21,A2V51235,2125314,찬성,2023-11-09
21,7469929V,2125314,반대,2023-11-09
21,OFE45081,2125314,찬성,2023-11-09
21,M7T9712V,2125314,반대,2023-11-09
21,1WE5693J,2125314,찬성,2023-11-09
21,8FB1535Y,2125314,찬성,2023-11-09
21,SU53086M,2125314,불참,2023-11-09
21,0WL9321T,2125314,찬성,2023-11-09
21,MR210505,2125314,반대,2023-11-09
21,JQA21112,2125314,반대,2023-11-09
21,40E3739H,2125314,반대,2023-11-09
21,RPN2293B,2125314,찬성,2023-11-09
21,6RM29022,2125314,반대,2023-11-09
21,ZA54991S,2125314,찬성,2023-11-09
21,0827740Q,2125314,찬성,2023-11-09
21,0W194007,2125314,찬성,2023-11-09
21,NCP9875N,2125314,찬성,2023-11-09
21,3425169D,2125314,찬성,2023-11-09
21,6MO8786S,2125314,반대,2023-11-09
21,CT85313K,2125314,반대,2023-11-09
21,NQR1206Q,2125314,반대,2023-11-09
21,L2I9861C,2125314,반대,2023-11-09
21,KUO3574J,2125314,찬성,2023-11-09
21,D6U6678O,2125314,찬성,2023-11-09
21,8FC9697X,2125314,찬성,2023-11-09
21,ZRF3039U,2125314,반대,2023-11-09
21,68P7228G,2125314,찬성,2023-11-09
21,0YT3774N,2125314,찬성,2023-11-09
21,IL74008M,2125314,찬성,2023-11-09
21,8KF7223D,2125314,찬성,2023-11-09
21,CNZ51556,2125314,불참,2023-11-09
21,P2N4585G,2125314,찬성,2023-11-09
21,VCP96419,2125314,찬성,2023-11-09
21,F5Y4026Q,2125314,찬성,2023-11-09
21,WHV3448W,2125314,찬성,2023-11-09
21,O6D8329R,2125314,찬성,2023-11-09
21,N9X9673B,2125314,찬성,2023-11-09
21,CAA7713A,2125314,반대,2023-11-09
21,CZB4125D,2125314,불참,2023-11-09
21,Z6R3959C,2125314,반대,2023-11-09
21,YKW37422,2125314,불참,2023-11-09
21,KB04377U,2125314,반대,2023-11-09
21,8VY63414,2125314,반대,2023-11-09
21,QQP4727N,2125314,불참,2023-11-09
21,BCQ55105,2125314,찬성,2023-11-09
21,LJK4960Z,2125314,반대,2023-11-09
21,IUD9392R,2125314,찬성,2023-11-09
21,DBA1057Z,2125314,반대,2023-11-09
21,UQ282145,2125314,찬성,2023-11-09
21,T465023H,2125314,찬성,2023-11-09
21,CNW5754J,2125314,반대,2023-11-09
21,8Q88373R,2125314,찬성,2023-11-09
21,7XY7109I,2125314,불참,2023-11-09
21,LT72093S,2125314,찬성,2023-11-09
21,FDC3144T,2125314,반대,2023-11-09
21,I7R13867,2125314,찬성,2023-11-09
21,YOG1280B,2125314,반대,2023-11-09
21,FIC9046Z,2125314,찬성,2023-11-09
21,DWK26447,2125314,반대,2023-11-09
21,KFM1081G,2125314,반대,2023-11-09
21,NLR6572J,2125314,반대,2023-11-09
21,YTA7297R,2125314,반대,2023-11-09
21,L7T64271,2125314,찬성,2023-11-09
21,4X525582,2125314,반대,2023-11-09
21,GKD32201,2125314,찬성,2023-11-09
21,G7512472,2125314,불참,2023-11-09
21,S741317G,2125314,반대,2023-11-09
21,CCU1009B,2125314,불참,2023-11-09
21,MU69217P,2125314,반대,2023-11-09
21,2N793392,2125314,찬성,2023-11-09
21,LM13674V,2125314,찬성,2023-11-09
21,QD25323M,2125314,찬성,2023-11-09
21,JVB6983V,2125314,반대,2023-11-09
21,GP07421U,2125314,찬성,2023-11-09
21,FGI27280,2125314,반대,2023-11-09
21,4XG1439M,2125314,찬성,2023-11-09
21,A0P4646G,2125314,반대,2023-11-09
21,7I09543O,2125314,찬성,2023-11-09
21,3DK8989T,2125314,반대,2023-11-09
21,D4L60530,2125314,찬성,2023-11-09
21,M6H1705E,2125314,찬성,2023-11-09
21,09I2323E,2125314,찬성,2023-11-09
21,NTT8182Q,2125314,찬성,2023-11-09
21,A3H7195R,2125314,불참,2023-11-09
21,ZYH1940A,2125314,불참,2023-11-09
21,0VU8517U,2125314,찬성,2023-11-09
21,M0A1658U,2125314,찬성,2023-11-09
21,HSW1214Q,2125314,반대,2023-11-09
21,NZF1659U,2125314,반대,2023-11-09
